Type (XID),Code,Mnemonic,Description,Applies to A100,Applies to H100,Applies to B100,Applies to GB200,Resolution Bucket (Immediate Action),Resolution Bucket (Investigatory Action),Xid 154 linkage,Trigger Conditions
XID,142,ROBUST_CHANNEL_NVENC3_ERROR,NVENC3 Error,NO,NO,NO,YES,CONTACT_SUPPORT,,,
XID,143,GPU_INIT_ERROR,GPU Initialization Error,NO,YES,YES,YES,RESET_GPU,CONTACT_SUPPORT,CUDA 12.9; GPU driver R575,
XID,144,NVLINK_SAW_ERROR,NVLINK: SAW Error,NO,NO,YES,YES,WORKFLOW_NVLINK5_ERR,WORKFLOW_NVLINK5_ERR,CUDA 12.7; GPU driver R565,
XID,145,NVLINK_RLW_ERROR,NVLINK: RLW Error,NO,NO,YES,YES,WORKFLOW_NVLINK5_ERR,WORKFLOW_NVLINK5_ERR,CUDA 12.7; GPU driver R565,
XID,146,NVLINK_TLW_ERROR,NVLINK: TLW Error,NO,NO,YES,YES,WORKFLOW_NVLINK5_ERR,WORKFLOW_NVLINK5_ERR,CUDA 12.7; GPU driver R565,
XID,147,NVLINK_TREX_ERROR,NVLINK: TREX Error,NO,NO,YES,YES,WORKFLOW_NVLINK5_ERR,WORKFLOW_NVLINK5_ERR,CUDA 12.7; GPU driver R565,
XID,148,NVLINK_NVLPW_CTRL_ERROR,NVLINK: NVLPW_CTRL Error,NO,NO,YES,YES,WORKFLOW_NVLINK5_ERR,WORKFLOW_NVLINK5_ERR,CUDA 12.7; GPU driver R565,
XID,149,NVLINK_NETIR_ERROR,NVLINK: NETIR Error,NO,NO,YES,YES,WORKFLOW_NVLINK5_ERR,WORKFLOW_NVLINK5_ERR,CUDA 12.7; GPU driver R565,
XID,150,NVLINK_MSE_ERROR,NVLINK: MSE Error,NO,NO,YES,YES,WORKFLOW_NVLINK5_ERR,WORKFLOW_NVLINK5_ERR,CUDA 12.7; GPU driver R565,
XID,151,ROBUST_CHANNEL_KEY_ROTATION_ERROR,Key rotation Error,NO,YES,YES,YES,RESTART_VM,CONTACT_SUPPORT,,
XID,152,ROBUST_CHANNEL_DLA_SMMU_ERROR,DLA SMMU Error,NO,NO,NO,NO,IGNORE,CONTACT_SUPPORT,,
XID,153,ROBUST_CHANNEL_DLA_TIMEOUT,DLA timeout Error,NO,NO,NO,NO,IGNORE,CONTACT_SUPPORT,,
XID,154,GPU_RECOVERY_ACTION_CHANGED,GPU Recovery Action Changed,YES,YES,YES,YES,XID_154,N/A Informational only regarding another Xid,,"""Xid 154 will be seen in conjunction with other Xids and summarizes the recovery action required for other Xids. 
The string will be similar to """"Xid 154 GPU recovery action changed from 0x0 (None) to 0x2 (Node Reboot Required)"""" where the expected values of the text are: """"None"""", """"Drain P2P"""", """"Drain and Reset"""", """"GPU Reset Required"""", """"Node Reboot Required"""". """
XID,155,NVLINK_SW_DEFINED_ERROR,NVLINK: SW Defined Error,NO,NO,YES,YES,RESET_GPU,INVESTIGATE_SW_USER,CUDA 12.7; GPU driver R565,Link down events which are flagged as “intentional” (including transitions to SLEEP) will trigger this Xid
XID,156,RESOURCE_RETIREMENT_EVENT,Resource Retirement Event,NO,YES,YES,YES,RESET_GPU,IGNORE,CUDA 12.7; GPU driver R565,
XID,157,RESOURCE_RETIREMENT_FAILURE,Resource Retirement Failure,NO,YES,YES,YES,IGNORE,CONTACT_SUPPORT,,"No possible repairs are possible due to lack of resources. You may still run workloads or Apps, but may experience the same Xid again."
XID,158,GPU_FATAL_TIMEOUT,GPU Fatal Timeout,YES,YES,YES,YES,RESET_GPU,CONTACT_SUPPORT,yes; support with Xid introduction,
XID,159,ROBUST_CHANNEL_CHI_NON_DATA_ERROR,CHI Non-Data Error,NO,NO,YES,YES,CHECK_UVM,SYMPATHETIC_REPORT_SOLO,yes; support with Xid introduction,May be seen on any C2C link-connected GPU.
XID,160,CHANNEL_RETIREMENT_EVENT,Channel Retirement Event,NO,NO,YES,YES,IGNORE,INVESTIGATE_SW,CUDA 12.9; GPU driver R575,
XID,161,CHANNEL_RETIREMENT_FAILURE,Channel Retirement Failure,NO,NO,YES,YES,IGNORE,INVESTIGATE_SW,CUDA 12.9; GPU driver R575,
XID,162,PSHC_REENGAGED,Power Smoothing HW Circuitry capability reengaged,NO,NO,YES,YES,,,,
XID,163,PSHC_DISENGAGED,Power Smoothing HW Circuitry capability disengaged,NO,NO,YES,YES,,,,"No GPU reset required. If power smoothing functionality is desired, the customer needs to resolve the thermal events. If disabled due to timeout, reload the driver or reset the GPU."
XID,164,PSHC_LOW_LIFETIME,Power Smoothing HW Circuitry low lifetime reached,NO,NO,YES,YES,,,,"Monitor power swings and expect to replace GPUs if power smoothing is desired.
Power smoothing functionality will be disabled soon. Investigate if power swings are acceptable, and if not, take action."
XID,165,PSHC_ZERO_LIFETIME,Power Smoothing HW Circuitry lifetime exhausted,NO,NO,YES,YES,,,,"Replace GPUs if power swings are not acceptable, and power smoothing is desired. Power smoothing will be disabled by the driver and power swings will occur. Analyze datacenter infrastructure to ensure ability to absorb power swings."
XID,166,NVLINK_SECURE_CRYPTO_ERR,CC traffic seen prior to link properly being configured for encrypted traffic,NO,NO,YES,YES,,,,Applicable to CC (confidential computing) mode only.
XID,167,PCIE_FATAL_TIMEOUT,PCIE_FATAL_TIMEOUT,NO,YES,YES,YES,,,,
XID,168,REDUCED_GPU_MEMORY_CAPACITY,Errors found in WPR (write protected region),YES,YES,YES,YES,,,,"Should only be seen when ECC is disabled. 
Either ECC should be enabled (to enable row-remapping) or boot re-attempted with shifted WPR."
XID,169,SEC2_HALT_ERROR,Internal micro-controller halt,NO,YES,YES,YES,,,,
XID,170,NVLINK_SECURE_OTHER,Interrupt seen in CC mode,NO,NO,YES,YES,,,,Applicable to CC (confidential computing) mode only.
XID,171,UNCORRECTABLE_DRAM_ERROR,Additional to Xid 48 providing more details on particulars of fault to differentiate DRAM/SRAM,YES,YES,YES,YES,,,,
XID,172,UNCORRECTABLE_SRAM_ERROR,Additional to Xid 48 providing more details on particulars of fault to differentiate DRAM/SRAM,YES,YES,YES,YES,,,,
